City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
73,73,Salalah,OM,9/21/2021 23:23,17.0151,54.0924,80.69,83,75,6.91
74,74,Angoram,PG,9/21/2021 23:24,-4.0625,144.0661,80.38,87,99,2.8
79,79,Atuona,PF,9/21/2021 23:19,-9.8,-139.0333,77.95,70,12,21.63
82,82,Guerrero Negro,MX,9/21/2021 23:24,27.9769,-114.0611,80.35,57,40,13.2
83,83,Waingapu,ID,9/21/2021 23:24,-9.6567,120.2641,79.83,75,77,9.17
84,84,Sulangan,PH,9/21/2021 23:24,11.1373,123.7228,82.11,73,73,3.04
89,89,Tarakan,ID,9/21/2021 23:24,3.3,117.6333,78.3,89,75,1.14
91,91,Esperantinopolis,BR,9/21/2021 23:24,-4.8667,-44.7083,83.37,51,83,3.74
93,93,Hilo,US,9/21/2021 23:22,19.7297,-155.09,83.28,73,90,8.05
98,98,Avera,US,9/21/2021 23:24,33.194,-82.5271,83.08,82,67,6.29
101,101,Tukrah,LY,9/21/2021 23:24,32.5341,20.5791,82.08,43,0,6.98
107,107,Soure,BR,9/21/2021 23:24,-0.7167,-48.5233,80.02,80,24,11.68
109,109,Bardiyah,LY,9/21/2021 23:24,31.7561,25.0865,77.9,72,0,11.07
110,110,Cockburn Town,TC,9/21/2021 23:21,21.4612,-71.1419,83.05,79,6,19.48
114,114,Bilma,NE,9/21/2021 23:24,18.6853,12.9164,85.66,13,36,3.49
119,119,Georgetown,MY,9/21/2021 23:21,5.4112,100.3354,77.9,85,40,2.3
120,120,Cayenne,GF,9/21/2021 23:24,4.9333,-52.3333,84.09,78,75,4.0
122,122,Honiara,SB,9/21/2021 23:24,-9.4333,159.95,84.99,68,3,5.88
124,124,San Cristobal,VE,9/21/2021 23:21,7.7669,-72.225,75.38,99,100,3.27
129,129,Sao Jose Da Coroa Grande,BR,9/21/2021 23:24,-8.8978,-35.1478,75.15,80,33,8.05
131,131,Cairns,AU,9/21/2021 23:19,-16.9167,145.7667,77.11,39,74,20.71
141,141,Baculin,PH,9/21/2021 23:23,7.4525,126.5842,81.12,74,82,1.61
148,148,Axim,GH,9/21/2021 23:21,4.8699,-2.2405,75.97,93,91,7.58
150,150,Kandrian,PG,9/21/2021 23:24,-6.2167,149.55,80.38,83,100,6.76
157,157,Kavieng,PG,9/21/2021 23:24,-2.5744,150.7967,82.94,75,99,11.7
159,159,Puerto Ayacucho,VE,9/21/2021 23:20,5.6639,-67.6236,78.6,84,100,1.81
160,160,Sola,VU,9/21/2021 23:20,-13.8833,167.55,79.38,79,22,15.28
162,162,Terenos,BR,9/21/2021 23:21,-20.4422,-54.8603,80.31,65,0,12.66
163,163,Robertsport,LR,9/21/2021 23:24,6.7533,-11.3686,80.06,81,98,7.63
165,165,Merauke,ID,9/21/2021 23:24,-8.4667,140.3333,79.61,77,76,10.56
168,168,Jaguaribe,BR,9/21/2021 23:21,-5.8906,-38.6219,84.11,46,23,12.82
176,176,Buchanan,LR,9/21/2021 23:24,5.8808,-10.0467,77.83,86,97,6.31
181,181,Calgary,CA,9/21/2021 23:23,51.0501,-114.0853,75.02,28,20,8.99
182,182,Piranhas,BR,9/21/2021 23:24,-16.4269,-51.8222,88.59,16,44,0.89
184,184,Bougouni,ML,9/21/2021 23:24,11.417,-7.479,77.25,77,83,5.41
186,186,Shimoda,JP,9/21/2021 23:20,34.6667,138.95,75.56,85,76,2.48
190,190,Bengkulu,ID,9/21/2021 23:19,-3.8004,102.2655,75.36,89,100,5.19
191,191,Nortelandia,BR,9/21/2021 23:24,-14.4547,-56.8028,87.82,17,7,1.95
199,199,Harindanga,IN,9/21/2021 23:20,22.0383,88.3214,80.58,93,100,5.08
200,200,Kushikino,JP,9/21/2021 23:24,31.7167,130.2667,76.46,88,68,6.98
201,201,Faanui,PF,9/21/2021 23:21,-16.4833,-151.75,78.57,72,7,7.02
202,202,Iquitos,PE,9/21/2021 23:23,-3.7481,-73.2472,77.04,88,75,0.0
