City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
148,Axim,GH,9/21/2021 23:21,4.8699,-2.2405,75.97,93,91,7.58
149,Baykit,RU,9/21/2021 23:21,61.67,96.37,36.54,98,100,3.85
150,Kandrian,PG,9/21/2021 23:24,-6.2167,149.55,80.38,83,100,6.76
151,Ozark,US,9/21/2021 23:24,37.0209,-93.206,70.05,57,64,4
152,Alice Springs,AU,9/21/2021 23:23,-23.7,133.8833,53.15,32,54,12.66
153,Dongying,CN,9/21/2021 23:24,37.4564,118.4856,65.52,74,0,3.78
154,Saldanha,ZA,9/21/2021 23:24,-33.0117,17.9442,48.25,77,13,10.65
155,Port Elizabeth,ZA,9/21/2021 23:24,-33.918,25.5701,52.11,93,24,3.44
156,Katobu,ID,9/21/2021 23:24,-4.9408,122.5276,71.82,95,100,2.66
157,Kavieng,PG,9/21/2021 23:24,-2.5744,150.7967,82.94,75,99,11.7
158,Verkh-Usugli,RU,9/21/2021 23:24,52.7,115.1667,45.59,89,79,7.02
159,Puerto Ayacucho,VE,9/21/2021 23:20,5.6639,-67.6236,78.6,84,100,1.81
160,Sola,VU,9/21/2021 23:20,-13.8833,167.55,79.38,79,22,15.28
161,Hasaki,JP,9/21/2021 23:23,35.7333,140.8333,72,89,100,5.7
162,Terenos,BR,9/21/2021 23:21,-20.4422,-54.8603,80.31,65,0,12.66
163,Robertsport,LR,9/21/2021 23:24,6.7533,-11.3686,80.06,81,98,7.63
164,Ilulissat,GL,9/21/2021 23:24,69.2167,-51.1,28.42,93,90,4.61
165,Merauke,ID,9/21/2021 23:24,-8.4667,140.3333,79.61,77,76,10.56
166,Gaziantep,TR,9/21/2021 23:24,37.0594,37.3825,73.56,56,0,0
167,Chadiza,ZM,9/21/2021 23:24,-14.0678,32.4392,67.3,33,0,3.83
168,Jaguaribe,BR,9/21/2021 23:21,-5.8906,-38.6219,84.11,46,23,12.82
169,Yellowknife,CA,9/21/2021 23:24,62.456,-114.3525,50.52,76,90,12.66
170,Shetpe,KZ,9/21/2021 23:24,44.1667,52.1167,65.98,16,49,16.58
171,Berdigestyakh,RU,9/21/2021 23:24,62.0989,126.6992,36.84,73,41,10.56
172,Egvekinot,RU,9/21/2021 23:23,66.3167,-179.1667,24.37,66,9,2.26
173,Oxelosund,SE,9/21/2021 23:24,58.6706,17.1015,46.53,100,0,0
174,Clyde River,CA,9/21/2021 23:17,70.4692,-68.5914,30.43,93,90,3.44
175,Brae,GB,9/21/2021 23:24,60.3964,-1.353,57.11,85,63,34.07
176,Buchanan,LR,9/21/2021 23:24,5.8808,-10.0467,77.83,86,97,6.31
177,Leiyang,CN,9/21/2021 23:24,26.4024,112.8591,73.53,64,21,3.2
178,Nantucket,US,9/21/2021 23:24,41.2835,-70.0995,70.14,86,90,8.05
179,Chuy,UY,9/21/2021 23:24,-33.6971,-53.4616,50.94,84,6,7.07
180,General Roca,AR,9/21/2021 23:24,-39.0333,-67.5833,66.6,27,0,15.93
181,Calgary,CA,9/21/2021 23:23,51.0501,-114.0853,75.02,28,20,8.99
182,Piranhas,BR,9/21/2021 23:24,-16.4269,-51.8222,88.59,16,44,0.89
183,Hofn,IS,9/21/2021 23:24,64.2539,-15.2082,46.56,61,9,28.7
184,Bougouni,ML,9/21/2021 23:24,11.417,-7.479,77.25,77,83,5.41
185,Kulu,TR,9/21/2021 23:24,39.0951,33.0799,63.09,67,76,9.91
186,Shimoda,JP,9/21/2021 23:20,34.6667,138.95,75.56,85,76,2.48
187,Cherskiy,RU,9/21/2021 23:19,68.75,161.3,31.33,51,100,7.05
188,Tiksi,RU,9/21/2021 23:24,71.6872,128.8694,34.36,71,100,2.48
189,Canals,ES,9/21/2021 23:24,38.9625,-0.5844,67.62,89,100,7.74
190,Bengkulu,ID,9/21/2021 23:19,-3.8004,102.2655,75.36,89,100,5.19
191,Nortelandia,BR,9/21/2021 23:24,-14.4547,-56.8028,87.82,17,7,1.95
192,Menongue,AO,9/21/2021 23:24,-14.6585,17.691,68.58,25,16,5.14
193,Ulaanbaatar,MN,9/21/2021 23:24,47.9077,106.8832,33.93,93,0,4.47
194,Hede,CN,9/21/2021 23:24,33.7681,120.2517,72.32,92,3,7.11
195,Whitehorse,CA,9/21/2021 23:24,60.7161,-135.0538,50.77,71,75,17.27
196,Santa Isabel Do Rio Negro,BR,9/21/2021 23:24,-0.4139,-65.0192,73.83,97,95,3.89
197,Strezhevoy,RU,9/21/2021 23:24,60.7333,77.5889,31.98,93,100,6.2
198,Port Hawkesbury,CA,9/21/2021 23:22,45.6169,-61.3485,63.59,80,1,1.01
199,Harindanga,IN,9/21/2021 23:20,22.0383,88.3214,80.58,93,100,5.08
200,Kushikino,JP,9/21/2021 23:24,31.7167,130.2667,76.46,88,68,6.98
201,Faanui,PF,9/21/2021 23:21,-16.4833,-151.75,78.57,72,7,7.02
202,Iquitos,PE,9/21/2021 23:23,-3.7481,-73.2472,77.04,88,75,0
203,Marabba,SD,9/21/2021 23:24,12.35,32.1833,73.51,80,100,11.41
204,San Matias,BO,9/21/2021 23:24,-16.3667,-58.4,93.96,22,35,5.86
205,Cabo San Lucas,MX,9/21/2021 23:24,22.8909,-109.9124,92.61,74,40,5.75
206,Namibe,AO,9/21/2021 23:22,-15.1961,12.1522,62.31,88,24,1.41
207,Matay,EG,9/21/2021 23:24,28.419,30.7792,80.82,40,0,14.83
208,Hambantota,LK,9/21/2021 23:24,6.1241,81.1185,77.34,100,73,5.75
209,Norton,ZW,9/21/2021 23:21,-17.8833,30.7,63.28,30,1,6.15
210,Kilindoni,TZ,9/21/2021 23:24,-7.9139,39.6668,75.83,81,0,12.17
211,Sobolevo,RU,9/21/2021 23:24,54.4299,31.8996,40.95,98,100,9.8
212,Kuopio,FI,9/21/2021 23:25,62.8924,27.677,33.75,93,0,2.3
213,Sangar,RU,9/21/2021 23:25,63.9242,127.4739,39.34,75,79,10.8
214,Saint George,US,9/21/2021 23:22,37.1041,-113.5841,93.67,12,1,3
215,Kiruna,SE,9/21/2021 23:25,67.8557,20.2251,38.32,93,90,16.11
216,Kozluk,TR,9/21/2021 23:25,38.1938,41.4885,53.85,22,11,6.24
217,Manoel Urbano,BR,9/21/2021 23:25,-8.8389,-69.2597,75.79,76,73,2.26
218,Filingue,NE,9/21/2021 23:22,14.3521,3.3168,90.23,42,45,11.36
219,Dolinsk,RU,9/21/2021 23:25,47.35,142.8,51.66,95,100,10.83
220,Mwense,ZM,9/21/2021 23:25,-10.3845,28.698,72.41,24,3,4.12
221,Ambilobe,MG,9/21/2021 23:21,-13.2,49.05,70.88,69,62,3.98
